# t,winchvel,rotvel,lightbright
37433,0.0249277,1,0.941946
37516,0.0302602,1,0.94057
37599,0.0355927,1,0.939193
37682,0.0409251,1,0.937817
37765,0.0462577,1,0.936441
37848,0.0515902,1,0.935064
37931,0.0569227,1,0.933688
38014,0.0622551,1,0.932312
38097,0.0675876,1,0.930936
38180,0.0729201,1,0.929559
38263,0.0782526,1,0.928183
38346,0.083585,1,0.926807
38429,0.0889175,1,0.92543
38512,0.09425,1,0.924054
38595,0.0995824,1,0.922678
38678,0.104915,1,0.921301
38761,0.110247,1,0.919925
38844,0.11558,1,0.918549
38927,0.120912,1,0.917172
39010,0.126245,1,0.915796
39093,0.131577,1,0.91442
39176,0.13691,1,0.913043
39259,0.142242,1,0.911667
39342,0.147575,1,0.910291
39425,0.152907,1,0.908915
39508,0.15824,1,0.907538
39591,0.163572,1,0.906162
39674,0.168905,1,0.904786
39757,0.174237,1,0.903409
39840,0.17957,1,0.902033
39923,0.184902,1,0.900657
40006,0.190235,1,0.89928
40089,0.195567,1,0.897904
40172,0.199715,1,0.896528
40255,0.198028,1,0.895151
40338,0.196342,1,0.893775
40421,0.194654,1,0.892399
40504,0.192968,1,0.891022
40587,0.19128,1,0.889646
40670,0.189594,1,0.88827
40753,0.187907,1,0.886894
40836,0.18622,1,0.885517
40919,0.184533,1,0.884141
41002,0.182846,1,0.882765
41085,0.181159,1,0.881388
41168,0.179472,1,0.880012
41251,0.177785,1,0.878636
41334,0.176098,1,0.877259
41417,0.174411,1,0.875883
41500,0.172724,1,0.874507
41583,0.171037,1,0.87313
41666,0.16935,1,0.871754
41749,0.167663,1,0.870378
41832,0.165976,1,0.869001
41915,0.164289,1,0.867625
41998,0.162602,1,0.866249
42081,0.160915,1,0.864872
42164,0.159228,1,0.863496
42247,0.157541,1,0.86212
42330,0.155854,1,0.860744
42413,0.154167,1,0.859367
42496,0.15248,1,0.857991
42579,0.150793,1,0.856615
42662,0.149106,1,0.855238
42745,0.147419,1,0.853862
42828,0.145732,1,0.852486
42911,0.144045,1,0.851109
42994,0.142358,1,0.849733
43077,0.140671,1,0.848357
43160,0.138984,1,0.84698
43243,0.137297,1,0.845604
43326,0.13561,1,0.844228
43409,0.133923,1,0.842851
43492,0.132236,1,0.841475
43575,0.130549,1,0.840099
43658,0.128862,1,0.838723
43741,0.127175,1,0.837346
43824,0.125488,1,0.83597
43907,0.123801,1,0.834594
43990,0.122114,1,0.833217
44073,0.120427,1,0.831841
44156,0.11874,1,0.830465
44239,0.117053,1,0.829088
44322,0.115366,1,0.827712
